id,scope,level1,level2,level3,level4,level5,unitOfMeasurement,greenHouseGas,greenHouseGasEmissionFactor,yearOfData,yearOfRelease,reference,referenceFile,notes
1,Scope 1,Fuels,Gaseous fuels,Butane,,,tonnes,kg CO2e,3033.38067,2024,2024,"DESNZ, UK, 2024",13,
2,Scope 1,Fuels,Gaseous fuels,Butane,,,litres,kg CO2e,1.74532,2024,2024,"DESNZ, UK, 2024",13,
3,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Net CV),kg CO2e,0.24106,2024,2024,"DESNZ, UK, 2024",13,
4,Scope 1,Fuels,Gaseous fuels,Butane,,,kWh (Gross CV),kg CO2e,0.22241,2024,2024,"DESNZ, UK, 2024",13,
5,Scope 1,Fuels,Gaseous fuels,CNG,,,tonnes,kg CO2e,2568.16441,2024,2024,"DESNZ, UK, 2024",13,
6,Scope 1,Fuels,Gaseous fuels,CNG,,,litres,kg CO2e,0.44942,2024,2024,"DESNZ, UK, 2024",13,
7,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Net CV),kg CO2e,0.20264,2024,2024,"DESNZ, UK, 2024",13,
8,Scope 1,Fuels,Gaseous fuels,CNG,,,kWh (Gross CV),kg CO2e,0.1829,2024,2024,"DESNZ, UK, 2024",13,
9,Scope 1,Fuels,Gaseous fuels,LNG,,,tonnes,kg CO2e,2590.46441,2024,2024,"DESNZ, UK, 2024",13,
10,Scope 1,Fuels,Gaseous fuels,LNG,,,litres,kg CO2e,1.17216,2024,2024,"DESNZ, UK, 2024",13,
11,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Net CV),kg CO2e,0.2044,2024,2024,"DESNZ, UK, 2024",13,
12,Scope 1,Fuels,Gaseous fuels,LNG,,,kWh (Gross CV),kg CO2e,0.18449,2024,2024,"DESNZ, UK, 2024",13,
13,Scope 1,Fuels,Gaseous fuels,LPG,,,tonnes,kg CO2e,2939.36095,2024,2024,"DESNZ, UK, 2024",13,
14,Scope 1,Fuels,Gaseous fuels,LPG,,,litres,kg CO2e,1.55713,2024,2024,"DESNZ, UK, 2024",13,
15,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Net CV),kg CO2e,0.23031,2024,2024,"DESNZ, UK, 2024",13,
16,Scope 1,Fuels,Gaseous fuels,LPG,,,kWh (Gross CV),kg CO2e,0.2145,2024,2024,"DESNZ, UK, 2024",13,
17,Scope 1,Fuels,Gaseous fuels,Natural gas,,,tonnes,kg CO2e,2568.16441,2024,2024,"DESNZ, UK, 2024",13,
18,Scope 1,Fuels,Gaseous fuels,Natural gas,,,cubic metres,kg CO2e,2.04542,2024,2024,"DESNZ, UK, 2024",13,
19,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Net CV),kg CO2e,0.20264,2024,2024,"DESNZ, UK, 2024",13,
20,Scope 1,Fuels,Gaseous fuels,Natural gas,,,kWh (Gross CV),kg CO2e,0.1829,2024,2024,"DESNZ, UK, 2024",13,
21,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,tonnes,kg CO2e,2590.46441,2024,2024,"DESNZ, UK, 2024",13,
22,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,cubic metres,kg CO2e,2.06318,2024,2024,"DESNZ, UK, 2024",13,
23,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Net CV),kg CO2e,0.2044,2024,2024,"DESNZ, UK, 2024",13,
24,Scope 1,Fuels,Gaseous fuels,Natural gas (100% mineral blend),,,kWh (Gross CV),kg CO2e,0.18449,2024,2024,"DESNZ, UK, 2024",13,
