name,latitude,longitude
Teixeira de Freitas -  9 de Maio - Teixeira de Freitas Airport (Brazil) (TXF),-0.305860223,-0.692345917
Pyongtaek -  A 511 Airport (South Korea),0.645112092,2.217109171
La Coruna -  A Coruna Airport (Spain) (LCG),0.755764235,-0.146210769
Aachen -  Aachen-Merzbruck Airport (Germany) (AAH),0.88702965,0.107972856
Aalborg -  Aalborg Airport (Denmark) (AAL),0.996456622,0.171901722
Aalen-heidenheim -  Aalen-Heidenheim/Elchingen Airport (Germany),0.851332839,0.179153193
Aappilattoq -  Aappilattoq (Kujalleq) Heliport (Greenland),1.049786869,-0.7729525
Aappilattoq -  Aappilattoq (Qaasuitsup) Heliport (Greenland),1.272118652,-0.970338254
Aarhus -  Aarhus Airport (Denmark) (AAR),0.982620356,0.185336521
Aarhus -  Aarhus Seaplne Terminal (Denmark),0.980032342,0.178868812
Aasiaat -  Aasiaat Airport (Greenland) (JEG),1.199421709,-0.921266783
Dire Dawa -  Aba Tenna Dejazmach Yilma International Airport (Ethiopia) (DIR),0.167982697,0.730493569
Walker's Cay -  Abaco I Walker C Airport (Bahamas) (WKR),0.475893704,-1.368332834
Abadan -  Abadan Airport (Iran) (ABD),0.530075683,0.841742596
Abaiang Atoll -  Abaiang Airport (Kiribati) (ABF),0.031391666,3.020135198
Abakan -  Abakan Airport (Russia) (ABA),0.937939969,1.594969174
Abbeville -  Abbeville (France) (XAB),0.875169191,0.031972529
Abbotsford -  Abbotsford Airport (Canada) (YXX),0.855652886,-2.135602328
Malang -  Abdul Rachman Saleh Airport (Indonesia) (MLG),-0.138344569,1.967247802
Abeche -  Abeche Airport (Chad) (AEH),0.241675744,0.363801653
Zanzibar -  Abeid Amani Karume International Airport (Tanzania) (ZNZ),-0.108594735,0.684603636
Santa Clara -  Abel Santamaria Airport (Cuba) (SNU),0.392562961,-1.395279097
Abemama -  Abemama Atoll Airport (Kiribati) (AEA),0.008566652,3.033888295
Aberdeen -  Aberdeen Dyce Airport (United Kingdom) (ABZ),0.998361502,-0.038358495
Aberdeen -  Aberdeen Regional Airport (United States) (ABR),0.793236446,-1.717784443
Abha -  Abha Regional Airport (Saudi Arabia) (AHB),0.318355042,0.744498134
Abilene -  Abilene Regional Airport (United States) (ABI),0.565683911,-1.73977736
Abqaiq -  Abqaiq Airport (Saudi Arabia),0.45223751,0.865529751
Ciudad Juarez -  Abraham Gonzalez International Airport (Mexico) (CJS),0.552154121,-1.857536485
Springfield -  Abraham Lincoln Capital Airport (United States) (SPI),0.695410749,-1.56517466
Abu Dhabi -  Abu Dhabi International Airport (United Arab Emirates) (AUH),0.426436306,0.953841638
Abumusa I. -  Abu Musa Island Airport (Iran) (AEU),0.451616161,0.960507065
Abu Simbel -  Abu Simbel Airport (Egypt) (ABS),0.390534864,0.551728248
Louisiana -  Acadiana Regional Airport (United States) (ARA),0.52425851,-1.603676654
Achinsk -  Achinsk Airport (Russia) (ACS),0.982067084,1.58075868
Semarang -  Achmad Yani Airport (Indonesia) (SRG),-0.121697096,1.926407162
Ada -  Ada Regional Airport (United States) (ADT),0.607449594,-1.68723253
Adak Island -  Adak Airport (United States) (ADK),0.905441881,-3.083054242
Adamovka -  Adamovka (Russia),0.898844565,1.046082478
Adampur -  Adampur Airport (India) (AIP),0.548623306,1.322240445
Adana -  Adana Airport (Turkey) (ADA),0.645461165,0.61575913
Addis Ababa -  Addis Ababa Bole International Airport (Ethiopia) (ADD),0.156693741,0.677175553
Addison -  Addison Airport (United States) (ADS),0.575410641,-1.690114066
Adelaide -  Adelaide International Airport (Australia) (ADL),-0.609905307,2.417822171
Adelaide -  Adelaide Parafield Airport (Australia),-0.607257654,2.419602225
Mogadishu -  Aden Adde International Airport (Somalia) (MGQ),0.035158612,0.790716163
Aden -  Aden International Airport (Yemen) (ADE),0.22391702,0.785900835
Solo City -  Adi Sumarmo Wiryokusumo Airport (Indonesia) (SOC),-0.131180516,1.933074386
Yogyakarta -  Adi Sutjipto International Airport (Indonesia) (JOG),-0.135929382,1.927401986
Saranac Lake -  Adirondack Regional Airport (United States) (SLK),0.774669619,-1.295142509
Adiyaman -  Adiyaman Airport (Turkey) (ADF),0.658537153,0.671408943
Izmir -  Adnan Menderes International Airport (Turkey) (ADB),0.668328465,0.473979058
Schwaebisch Hall -  Adolf Wurth Airport (Germany),0.857276615,0.170761074
Madrid -  Adolfo Suarez Madrid - Barajas Airport (Spain) (MAD),0.706368363,-0.062179798
Sorriso -  Adolino Bedin Regional Airport (Brazil) (SMT),-0.217802727,-0.971665653
Padang Sidempuan -  Aek Godang Airport (Indonesia) (AEG),0.024436355,1.735389532
Aero -  Aero Airport (Denmark),0.957361937,0.182498607
Nova Iguacu -  Aeroclube Airport (Brazil) (QNV),-0.396980379,-0.758525337
