name,continent,region
Afghanistan,Asia,Afghanistan
Aland Islands,Europe,Aland Islands
Albania,Europe,Albania
Algeria,Africa,Algeria
American Samoa,Oceania,American Samoa
Andorra,Europe,Andorra
Angola,Africa,Angola
Anguilla,Americas,Anguilla
Antarctica,Antarctica,Antarctica
Antigua and Barbuda,Americas,Antigua and Barbuda
Argentina,Americas,Argentina
Armenia,Asia,Armenia
Aruba,Americas,Aruba
Australia,Oceania,New South Wales and Australian Capital Territory
Australia,Oceania,Victoria
Australia,Oceania,Queensland
Australia,Oceania,South Australia
Australia,Oceania,Western Australia -
Australia,Oceania,South West Interconnected System (SWIS) 
Australia,Oceania,Tasmania
Australia,Oceania,Northern territory -
Australia,Oceania,Darwin Katherine Interconnected System (DKIS) 
Australia,Oceania,Western Australia - North Western Interconnected System (NWIS) 
Austria,Europe,Austria
Azerbaijan,Asia,Azerbaijan
Bahamas,Americas,Bahamas
Bahrain,Asia,Bahrain
Bangladesh,Asia,Bangladesh
Barbados,Americas,Barbados
Belarus,Europe,Belarus
Belgium,Europe,Belgium
Belize,Americas,Belize
Benin,Africa,Benin
Bermuda,Americas,Bermuda
Bhutan,Asia,Bhutan
Bolivia (Plurinational State of),Americas,Bolivia (Plurinational State of)
"Bonaire, Sint Eustatius and Saba",Americas,"Bonaire, Sint Eustatius and Saba"
Bosnia and Herzegovina,Europe,Bosnia and Herzegovina
Botswana,Africa,Botswana
Bouvet Island,Americas,Bouvet Island
Brazil,Americas,Brazil
British Indian Ocean Territory,Africa,British Indian Ocean Territory
Brunei Darussalam,Asia,Brunei Darussalam
Bulgaria,Europe,Bulgaria
Burkina Faso,Africa,Burkina Faso
Burundi,Africa,Burundi
Cabo Verde,Africa,Cabo Verde
Cambodia,Asia,Cambodia
Cameroon,Africa,Cameroon
Canada,Americas,Alberta (AB)
Canada,Americas,British Columbia (BC)
Canada,Americas,Manitoba (MT)
Canada,Americas,New Brunswick (NB)
Canada,Americas,Newfoundland and Labrador (NL)
Canada,Americas,Nova Scotia (NS)
Canada,Americas,Northwest Territories (NT)
Canada,Americas,Nunavut (NU)
Canada,Americas,Ontario (ON)
Canada,Americas,Prince Edward Island (PE)
Canada,Americas,Quebec (QC)
Canada,Americas,Saskatchewan (SK)
Canada,Americas,Yukon Territory (YT)
Cayman Islands,Americas,Cayman Islands
Central African Republic,Africa,Central African Republic
Chad,Africa,Chad
Chile,Americas,Chile
China,Asia,China
Christmas Island,Oceania,Christmas Island
Cocos (Keeling) Islands,Oceania,Cocos (Keeling) Islands
Colombia,Americas,Colombia
Comoros,Africa,Comoros
Congo,Africa,Congo
"Congo, Democratic Republic of the",Africa,"Congo, Democratic Republic of the"
Cook Islands,Oceania,Cook Islands
Costa Rica,Americas,Costa Rica
Cote d'Ivoire,Africa,Cote d'Ivoire
Croatia,Europe,Croatia
Cuba,Americas,Cuba
Curacao,Americas,Curacao
Cyprus,Asia,Cyprus
Czechia,Europe,Czechia
Denmark,Europe,Denmark
Djibouti,Africa,Djibouti
Dominica,Americas,Dominica
Dominican Republic,Americas,Dominican Republic
Ecuador,Americas,Ecuador
Egypt,Africa,Egypt
El Salvador,Americas,El Salvador
Equatorial Guinea,Africa,Equatorial Guinea
Eritrea,Africa,Eritrea
Estonia,Europe,Estonia
Eswatini,Africa,Eswatini
Ethiopia,Africa,Ethiopia
Falkland Islands (Malvinas),Americas,Falkland Islands (Malvinas)
Faroe Islands,Europe,Faroe Islands
Fiji,Oceania,Fiji
Finland,Europe,Finland
France,Europe,France
French Guiana,Americas,French Guiana
French Polynesia,Oceania,French Polynesia
French Southern Territories,Africa,French Southern Territories
Gabon,Africa,Gabon
Gambia,Africa,Gambia
Georgia,Asia,Georgia
Germany,Europe,Germany
Ghana,Africa,Ghana
Gibraltar,Europe,Gibraltar
Greece,Europe,Greece
Greenland,Americas,Greenland
Grenada,Americas,Grenada
Guadeloupe,Americas,Guadeloupe
Guam,Oceania,Guam
Guatemala,Americas,Guatemala
Guernsey,Europe,Guernsey
Guinea,Africa,Guinea
Guinea-Bissau,Africa,Guinea-Bissau
Guyana,Americas,Guyana
Haiti,Americas,Haiti
Heard Island and McDonald Islands,Oceania,Heard Island and McDonald Islands
Holy See,Europe,Holy See
Honduras,Americas,Honduras
Hong Kong,Asia,Hong Kong
Hungary,Europe,Hungary
Iceland,Europe,Iceland
India,Asia,India
Indonesia,Asia,Indonesia
Iran (Islamic Republic of),Asia,Iran (Islamic Republic of)
Iraq,Asia,Iraq
Ireland,Europe,Ireland
Isle of Man,Europe,Isle of Man
Israel,Asia,Israel
Italy,Europe,Italy
Jamaica,Americas,Jamaica
Japan,Asia,Japan
Jersey,Europe,Jersey
Jordan,Asia,Jordan
Kazakhstan,Asia,Kazakhstan
Kenya,Africa,Kenya
Kiribati,Oceania,Kiribati
Korea (Democratic People's Republic of),Asia,Korea (Democratic People's Republic of)
"Korea, Republic of",Asia,"Korea, Republic of"
Kuwait,Asia,Kuwait
Kyrgyzstan,Asia,Kyrgyzstan
Lao People's Democratic Republic,Asia,Lao People's Democratic Republic
Latvia,Europe,Latvia
Lebanon,Asia,Lebanon
Lesotho,Africa,Lesotho
Liberia,Africa,Liberia
Libya,Africa,Libya
Liechtenstein,Europe,Liechtenstein
Lithuania,Europe,Lithuania
Luxembourg,Europe,Luxembourg
Macao,Asia,Macao
Madagascar,Africa,Madagascar
Malawi,Africa,Malawi
Malaysia,Asia,Malaysia
Maldives,Asia,Maldives
Mali,Africa,Mali
Malta,Europe,Malta
Marshall Islands,Oceania,Marshall Islands
Martinique,Americas,Martinique
Mauritania,Africa,Mauritania
Mauritius,Africa,Mauritius
Mayotte,Africa,Mayotte
Mexico,Americas,Mexico
Micronesia (Federated States of),Oceania,Micronesia (Federated States of)
"Moldova, Republic of",Europe,"Moldova, Republic of"
Monaco,Europe,Monaco
Mongolia,Asia,Mongolia
Montenegro,Europe,Montenegro
Montserrat,Americas,Montserrat
Morocco,Africa,Morocco
Mozambique,Africa,Mozambique
Myanmar,Asia,Myanmar
Namibia,Africa,Namibia
Nauru,Oceania,Nauru
Nepal,Asia,Nepal
Netherlands,Europe,Netherlands
New Caledonia,Oceania,New Caledonia
New Zealand,Oceania,New Zealand
Nicaragua,Americas,Nicaragua
Niger,Africa,Niger
Nigeria,Africa,Nigeria
Niue,Oceania,Niue
Norfolk Island,Oceania,Norfolk Island
North Macedonia,Europe,North Macedonia
Northern Mariana Islands,Oceania,Northern Mariana Islands
Norway,Europe,Norway
Oman,Asia,Oman
Pakistan,Asia,Pakistan
Palau,Oceania,Palau
"Palestine, State of",Asia,"Palestine, State of"
Panama,Americas,Panama
Papua New Guinea,Oceania,Papua New Guinea
