continent,country,region,countryMask
Asia,Afghanistan,Afghanistan,RoW Asia and Pacific
Europe,Aland Islands,Aland Islands,RoW Europe
Europe,Albania,Albania,RoW Europe
Africa,Algeria,Algeria,RoW Africa
Oceania,American Samoa,American Samoa,RoW Asia and Pacific
Europe,Andorra,Andorra,RoW Europe
Africa,Angola,Angola,RoW Africa
Americas,Anguilla,Anguilla,RoW Americas
Antarctica,Antarctica,Antarctica,RoW Asia and Pacific
Americas,Antigua and Barbuda,Antigua and Barbuda,RoW Americas
Americas,Argentina,Argentina,RoW Americas
Asia,Armenia,Armenia,RoW Asia and Pacific
Americas,Aruba,Aruba,RoW Americas
Oceania,Australia,New South Wales and Australian Capital Territory,Australia
Oceania,Australia,Victoria,Australia
Oceania,Australia,Queensland,Australia
Oceania,Australia,South Australia,Australia
Oceania,Australia,Western Australia -,Australia
Oceania,Australia,South West Interconnected System (SWIS) ,Australia
Oceania,Australia,Tasmania,Australia
Oceania,Australia,Northern territory -,Australia
Oceania,Australia,Darwin Katherine Interconnected System (DKIS) ,Australia
Oceania,Australia,Western Australia - North Western Interconnected System (NWIS) ,Australia
Europe,Austria,Austria,Austria
Asia,Azerbaijan,Azerbaijan,RoW Asia and Pacific
Americas,Bahamas,Bahamas,RoW Americas
Asia,Bahrain,Bahrain,RoW Middle East
Asia,Bangladesh,Bangladesh,RoW Asia and Pacific
Americas,Barbados,Barbados,RoW Americas
Europe,Belarus,Belarus,RoW Europe
Europe,Belgium,Belgium,Belgium
Americas,Belize,Belize,RoW Americas
Africa,Benin,Benin,RoW Africa
Americas,Bermuda,Bermuda,RoW Americas
Asia,Bhutan,Bhutan,RoW Asia and Pacific
Americas,Bolivia (Plurinational State of),Bolivia (Plurinational State of),RoW Americas
Americas,"Bonaire, Sint Eustatius and Saba","Bonaire, Sint Eustatius and Saba",RoW Americas
Europe,Bosnia and Herzegovina,Bosnia and Herzegovina,RoW Europe
Africa,Botswana,Botswana,RoW Africa
Americas,Bouvet Island,Bouvet Island,RoW Americas
Americas,Brazil,Brazil,Brazil
Africa,British Indian Ocean Territory,British Indian Ocean Territory,RoW Africa
Asia,Brunei Darussalam,Brunei Darussalam,RoW Asia and Pacific
Europe,Bulgaria,Bulgaria,Bulgaria
Africa,Burkina Faso,Burkina Faso,RoW Africa
Africa,Burundi,Burundi,RoW Africa
Africa,Cabo Verde,Cabo Verde,RoW Africa
Asia,Cambodia,Cambodia,RoW Asia and Pacific
