code,country,stateOrRegion,assetClass,year,unitOfMeasurement,greenHouseGasEmissionFactor
ABW,Aruba,Aruba,Office,2020,kgCO2e/m2/year,99.82392883
AFG,Afghanistan,Afghanistan,Office,2020,kgCO2e/m2/year,47.45216751
AGO,Angola,Angola,Office,2020,kgCO2e/m2/year,53.74394226
ALB,Albania,Albania,Office,2020,kgCO2e/m2/year,47.46759033
ARE,United Arab Emirates,United Arab Emirates,Office,2020,kgCO2e/m2/year,79.29894257
ARG,Argentina,Argentina,Office,2020,kgCO2e/m2/year,68.84777069
ARM,Armenia,Armenia,Office,2020,kgCO2e/m2/year,64.01412201
ASM,American Samoa,American Samoa,Office,2020,kgCO2e/m2/year,97.3575592
ATG,Antigua and Barbuda,Antigua and Barbuda,Office,2020,kgCO2e/m2/year,97.83466339
AUS,Australia,Australia,Office,2020,kgCO2e/m2/year,170.3499782
AUT,Austria,Austria,Office,2020,kgCO2e/m2/year,45.26201443
AZE,Azerbaijan,Azerbaijan,Office,2020,kgCO2e/m2/year,149.5253906
BDI,Burundi,Burundi,Office,2020,kgCO2e/m2/year,70.00769806
BEL,Belgium,Belgium,Office,2020,kgCO2e/m2/year,60.96786966
BEN,Benin,Benin,Office,2020,kgCO2e/m2/year,81.4759903
BFA,Burkina Faso,Burkina Faso,Office,2020,kgCO2e/m2/year,64.01886749
BGD,Bangladesh,Bangladesh,Office,2020,kgCO2e/m2/year,38.86057281
BGR,Bulgaria,Bulgaria,Office,2020,kgCO2e/m2/year,62.41866883
BHR,Bahrain,Bahrain,Office,2020,kgCO2e/m2/year,145.9363556
BHS,Bahamas,Bahamas,Office,2020,kgCO2e/m2/year,150.8184357
BIH,Bosnia and Herzegovina,Bosnia and Herzegovina,Office,2020,kgCO2e/m2/year,69.9637146
BLR,Belarus,Belarus,Office,2020,kgCO2e/m2/year,76.14752197
BLZ,Belize,Belize,Office,2020,kgCO2e/m2/year,72.44805145
BMU,Bermuda,Bermuda,Office,2020,kgCO2e/m2/year,84.80007172
BOL,Bolivia,Bolivia,Office,2020,kgCO2e/m2/year,61.74282455
BRA,Brazil,Brazil,Office,2020,kgCO2e/m2/year,34.62128909
BRB,Barbados,Barbados,Office,2020,kgCO2e/m2/year,95.17411804
BRN,Brunei Darussalam,Brunei Darussalam,Office,2020,kgCO2e/m2/year,79.92113495
BTN,Bhutan,Bhutan,Office,2020,kgCO2e/m2/year,112.7274628
BWA,Botswana,Botswana,Office,2020,kgCO2e/m2/year,148.7403412
CAF,Central African Republic,Central African Republic,Office,2020,kgCO2e/m2/year,53.16965103
CAN,Canada,Canada,Office,2020,kgCO2e/m2/year,42.21928052
CHE,Switzerland,Switzerland,Office,2020,kgCO2e/m2/year,25.16791702
CHL,Chile,Chile,Office,2020,kgCO2e/m2/year,84.84059143
CHN,China,China,Office,2020,kgCO2e/m2/year,67.26861851
CIV,Ivory Coast,Ivory Coast,Office,2020,kgCO2e/m2/year,73.48985291
CMR,Cameroon,Cameroon,Office,2020,kgCO2e/m2/year,69.71138
COD,"Congo, Democratic Republic of the","Congo, Democratic Republic of the",Office,2020,kgCO2e/m2/year,44.03639221
COG,Congo,Congo,Office,2020,kgCO2e/m2/year,72.8487854
COL,Colombia,Colombia,Office,2020,kgCO2e/m2/year,69.98183441
COM,Comoros,Comoros,Office,2020,kgCO2e/m2/year,80.37119293
CPV,Cabo Verde,Cabo Verde,Office,2020,kgCO2e/m2/year,78.7240448
CRI,Costa Rica,Costa Rica,Office,2020,kgCO2e/m2/year,69.04544067
CUB,Cuba,Cuba,Office,2020,kgCO2e/m2/year,18.48311615
CYM,Cayman Islands,Cayman Islands,Office,2020,kgCO2e/m2/year,94.59597778
